Importance,Category,Task
97,Core,Monitor sanitation practices to ensure that employees follow standards and regulations.
89,Core,"Instruct cooks or other workers in the preparation, cooking, garnishing, or presentation of food."
88,Core,Supervise or coordinate activities of cooks or workers engaged in food preparation.
86,Core,Order or requisition food or other supplies needed to ensure efficient operation.
83,Core,"Inspect supplies, equipment, or work areas to ensure conformance to established standards."
83,Core,Check the quantity and quality of received products.
82,Core,Check the quality of raw or cooked food products to ensure that standards are met.
82,Core,"Estimate amounts and costs of required supplies, such as food and ingredients."
76,Core,"Coordinate planning, budgeting, or purchasing for all the food operations within establishments such as clubs, hotels, or restaurant chains."
75,Core,"Analyze recipes to assign prices to menu items, based on food, labor, and overhead costs."
72,Core,"Plan, direct, or supervise food preparation or cooking activities of multiple kitchens or restaurants in an establishment such as a restaurant chain, hospital, or hotel."
71,Core,Determine how food should be presented and create decorative food displays.
71,Core,"Prepare and cook foods of all types, either on a regular basis or for special guests or functions."
71,Core,Determine production schedules and staff requirements necessary to ensure timely delivery of services.
66,Core,"Meet with customers to discuss menus for special occasions, such as weddings, parties, or banquets."
65,Core,"Recruit and hire staff, such as cooks and other kitchen workers."
64,Core,Record production or operational data on specified forms.
64,Core,Meet with sales representatives to negotiate prices or order supplies.
63,Core,Arrange for equipment purchases or repairs.
62,Core,Demonstrate new cooking techniques or equipment to staff.
61,Core,"Collaborate with other personnel to plan and develop recipes or menus, taking into account such factors as seasonal availability of ingredients or the likely number of customers."
