g2_threshold,g3_threshold,n_feasible,best_g1
0.5,0.5,15744,2788406.25
0.5,0.55,15744,2788406.25
0.5,0.6,15744,2788406.25
0.5,0.65,15744,2788406.25
0.5,0.7,15744,2788406.25
0.5,0.75,15744,2788406.25
0.55,0.5,13401,2673536.25
0.55,0.55,13401,2673536.25
0.55,0.6,13401,2673536.25
0.55,0.65,13401,2673536.25
0.55,0.7,13401,2673536.25
0.55,0.75,13401,2673536.25
0.6,0.5,11583,2574000.0
0.6,0.55,11583,2574000.0
0.6,0.6,11583,2574000.0
0.6,0.65,11583,2574000.0
0.6,0.7,11583,2574000.0
0.6,0.75,11583,2574000.0
0.65,0.5,10314,2427626.25
0.65,0.55,10314,2427626.25
0.65,0.6,10314,2427626.25
0.65,0.65,10314,2427626.25
0.65,0.7,10314,2427626.25
0.65,0.75,10314,2427626.25
0.7,0.5,8316,2296586.25
0.7,0.55,8316,2296586.25
0.7,0.6,8316,2296586.25
0.7,0.65,8316,2296586.25
0.7,0.7,8316,2296586.25
0.7,0.75,8316,2296586.25
0.75,0.5,6396,2160156.25
0.75,0.55,6396,2160156.25
0.75,0.6,6396,2160156.25
0.75,0.65,6396,2160156.25
0.75,0.7,6396,2160156.25
0.75,0.75,6396,2160156.25
